log_datetime,ip_address,api_key,method,protocol,status_code,resource,format,log_entry,addressString,autoComplete,bbox,brief,centre,civicNumber,civicNumberSuffix,echo,excludeUnits,extrapolate,interpolation,localities,localityName,locationDescriptor,matchPrecision,matchPrecisionNot,maxDistance,maxResults,maxDegree,minDegree,minScore,notLocalities,onlyCivic,outputSRS,parcelPoint,point,provinceCode,setBack,siteName,streetDirection,streetName,streetQualifier,streetType,tags,unitDesignator,unitNumber,unitNumberSuffix
2022-12-01T00:00:00-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:00-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:00-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:01-08:00,000.0.0.0,,GET,HTTP/1.1,200,addresses,json,,Y,,,,,,,Y,,,Y,,,Y,,,,Y,,,Y,,,Y,,,Y,,,,,,,,,,
2022-12-01T00:00:02-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:02-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:02-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:04-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:05-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:05-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:05-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:06-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:06-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:06-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:07-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:07-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:07-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:07-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:07-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
2022-12-01T00:00:07-08:00,000.00.000.000,apiKeyValue,GET,HTTP/1.1,200,addresses,json,,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,,,
